name : ChadCarson, gpa : 0.0
name : ChaseLopez, gpa : 0.0
name : DavidFlynn, gpa : 0.0
name : WilliamHobbs, gpa : 0.0
name : AnneHarrington, gpa : 0.3
name : DevonWilson, gpa : 0.3
name : ElizabethWhite, gpa : 0.3
name : GaryDean, gpa : 0.3
name : JamesPena, gpa : 0.3
name : JasmineJimenez, gpa : 0.3
name : KennethBenson, gpa : 0.3
name : KevinTurner, gpa : 0.3
name : KristineAllen, gpa : 0.3
name : LauraAnderson, gpa : 0.3
name : MarkPerez, gpa : 0.3
name : MeganByrd, gpa : 0.3
name : MercedesDickson, gpa : 0.3
name : MichaelMoyer, gpa : 0.3
name : RichardHunter, gpa : 0.3
name : BrandonPerez, gpa : 0.5
name : BrittanyCaldwell, gpa : 0.5
name : ChristopherPhelps, gpa : 0.5
name : CrystalCastillo, gpa : 0.5
name : DanielMason, gpa : 0.5
name : JohnShea, gpa : 0.5
name : KristenWard, gpa : 0.5
name : MaryBrown, gpa : 0.5
name : MichaelBradshaw, gpa : 0.5
name : NicoleAustin, gpa : 0.5
name : TonyaRamsey, gpa : 0.5
name : ZacharyNelson, gpa : 0.5
name : AlexandriaBaker, gpa : 0.6
name : AngelaOchoa, gpa : 0.6
name : AnnetteFrank, gpa : 0.6
name : ArthurKelley, gpa : 0.6
name : BarryClark, gpa : 0.6
name : BrianCochran, gpa : 0.6
name : CarlosWarren, gpa : 0.6
name : CharlesClayton, gpa : 0.6
name : ChristopherDaniel, gpa : 0.6
name : ChristopherFarmer, gpa : 0.6
name : DanielClarkMD, gpa : 0.6
name : DavidAlvarez, gpa : 0.6
name : Dr.MariaFisher, gpa : 0.6
name : EricEllis, gpa : 0.6
name : JamesThompson, gpa : 0.6
name : JamieMiller, gpa : 0.6
name : JoeRamirez, gpa : 0.6
name : JoeSmith, gpa : 0.6
name : JohnRogers, gpa : 0.6
name : JohnWhitehead, gpa : 0.6
name : JosephMorrison, gpa : 0.6
name : JustinMyers, gpa : 0.6
name : KarenMoore, gpa : 0.6
name : KathrynArellano, gpa : 0.6
name : KathyBaker, gpa : 0.6
name : KennethMoore, gpa : 0.6
name : KimberlyWare, gpa : 0.6
name : KristiePage, gpa : 0.6
name : LindaThompson, gpa : 0.6
name : LisaPhelps, gpa : 0.6
name : MariaBailey, gpa : 0.6
name : MatthewAdams, gpa : 0.6
name : MatthewShelton, gpa : 0.6
name : MichaelArroyo, gpa : 0.6
name : NatalieVargas, gpa : 0.6
name : NicholasSolis, gpa : 0.6
name : PeterIngram, gpa : 0.6
name : RandyJimenez, gpa : 0.6
name : TracyNguyen, gpa : 0.6
name : AnitaRoberts, gpa : 0.7
name : ChristianTaylor, gpa : 0.7
name : CindyBarber, gpa : 0.7
name : DanielAlexander, gpa : 0.7
name : DarrenGutierrez, gpa : 0.7
name : ElizabethMendoza, gpa : 0.7
name : GrantYang, gpa : 0.7
name : IsabelMoreno, gpa : 0.7
name : JoelBaldwin, gpa : 0.7
name : JoseSteele, gpa : 0.7
name : KimMiller, gpa : 0.7
name : KimVance, gpa : 0.7
name : SamanthaWatkins, gpa : 0.7
name : ToniMcdonald, gpa : 0.7
name : VanessaClements, gpa : 0.7
