+-----+-----+-----+------+-------+-------+-----+----+
|name1|name2|name3|Python|History|English|Music|Arts|
+-----+-----+-----+------+-------+-------+-----+----+
Dennis,Miller;A;D;B;D;A
Corey,Freeman;D;B;F;A;D
Vanessa,Parker;B;C;C;D;D
Kelly,Contreras;A;C;A;B;A
Vincent,Carroll;C;B;D;D;D
Jasmine,Paul;A;C;A;B;F
Joshua,Best;A;D;F;D;D
Kurt,Schroeder;A;B;A;F;F
Craig,Gibson;C;A;C;C;A
Mark,Matthews;D;A;A;F;F
Danielle,Gilbert;A;D;F;D;F
Mary,Deleon;A;B;C;D;F
Steve,Mcneil;C;F;A;D;A
Jasmine,Carey;C;F;C;B;B
David,Casey;A;B;F;A;F
Amy,Jackson,MD;B;F;A;C;A
Zachary,Flynn;B;B;C;F;A
Kyle,Dennis;F;A;B;B;D
Jason,Mccarthy;D;D;B;B;A
Scott,Walker;B;A;A;F;B
Chelsea,Knight;B;D;D;D;B
Scott,Silva;B;A;A;F;B
Matthew,Bishop;F;C;A;A;F
Jessica,Rowland,MD;C;F;C;B;A
Taylor,Richard;B;C;C;B;C
Kimberly,Johnson;A;C;A;A;B
Robert,Evans;F;D;B;B;B
Kristen,Humphrey;B;D;B;C;D
Emily,Welch;B;D;D;B;F
Lawrence,Choi;A;B;D;D;F
Linda,Mcdaniel;C;F;C;F;D
Renee,Adams;A;D;D;F;F
Douglas,Collins;D;F;C;F;A
Cody,Brennan;B;F;A;D;C
Nicholas,Russo;B;C;A;D;F
Haley,Lee;D;A;B;D;B
Alexis,Michael;F;A;A;C;C
Stephen,Johns;F;C;B;D;F
Nicole,May;B;A;B;C;B
Tracy,Martinez;B;D;D;D;F
Glenda,Anderson;D;D;D;A;B
Alan,Thomas;B;C;F;F;C
Angela,Maddox;C;B;C;B;D
Ashley,Caldwell;F;A;A;A;F
Daniel,Murphy;D;A;D;D;A
Daniel,Green;C;B;A;D;B
Melissa,Hull;C;F;D;F;A
Jon,Wallace,MD;F;B;B;F;D
Courtney,Holt;C;A;F;B;C
Kevin,Martinez;B;D;B;D;C
Alan,James;A;C;B;B;C
Catherine,Randall;A;A;B;B;C
Steven,Stewart;C;C;F;C;C
Cheyenne,Moon;F;D;C;A;D
Mrs.,Bridget,Brown;D;F;B;D;D
Kathryn,Beard;C;C;C;B;D
Jaime,Hancock;D;B;F;F;F
Harold,Black;A;B;B;F;B
Carl,Brown;A;C;B;B;B
William,Duarte;A;B;F;D;F
Kimberly,Casey;B;B;D;D;B
Veronica,Clark;D;C;F;A;C
Heather,Martin;D;A;D;C;F
Thomas,Holmes;D;F;F;B;F
John,Cardenas;C;F;D;F;B
Timothy,Hayes;C;C;F;A;C
Robin,Clark;D;F;D;F;C
Nicole,Taylor;F;B;B;D;C
Wendy,Flores;D;F;D;B;B
Taylor,Espinoza;A;D;C;D;A
Terry,Cummings;B;A;D;B;A
Dalton,Williams;A;C;A;A;A
Adam,Kirk;C;C;C;B;D
John,Mckenzie;C;B;C;C;F
Tyler,Carey;D;A;D;A;C
Laura,Johnson;A;B;A;A;F
Michael,Washington;C;B;D;F;B
Natasha,Wagner;F;C;A;C;D
Hannah,Floyd;A;B;C;A;F
Danielle,Key;D;C;C;C;B
Matthew,Allen;F;F;F;C;B
Diane,Cooper;F;C;F;F;A
Elizabeth,Berry;A;F;C;B;C
Elizabeth,Gutierrez,DDS;C;F;A;C;A
Jamie,Williams;B;A;D;B;D
Danielle,Brown;C;C;C;A;B
Jeremiah,Alvarez;F;F;C;B;F
Jennifer,Santos;D;A;A;C;B
Anthony,Salazar;B;F;A;F;F
Antonio,Lopez;F;A;F;C;C
Kimberly,Mcfarland;C;B;F;D;A
Hector,Perez;A;B;A;D;B
Dawn,Erickson;A;B;D;F;A
Jeffrey,Curry;B;B;B;D;B
Charles,Miller;D;D;A;A;B
Rebecca,Stout;C;A;C;D;D
Craig,Dominguez;A;C;D;F;B
Larry,Walsh;B;B;B;C;D
Brendan,Bush;B;A;F;C;D
Tristan,Greene;C;D;B;A;B
Jesse,Vaughn;F;B;D;A;F
Michael,Carter;B;B;F;A;D
Evelyn,Morton;A;F;C;C;C
Benjamin,Lee;A;D;B;C;B
Cynthia,Mason;A;F;C;A;F
Brittney,Bradley;B;C;F;B;C
James,Kramer;A;F;D;D;F
Betty,Jacobs;B;F;B;D;D
Ryan,Payne;A;B;A;A;C
Meredith,Ward;A;F;B;B;D
William,Chandler,Jr.;F;F;B;D;F
Kyle,Silva;B;F;A;B;B
Marisa,Davis;B;C;F;A;B
Nancy,Stevens,DDS;C;A;D;F;C
Dustin,Vazquez;F;C;B;B;C
Julie,Brock;D;F;D;F;C
Mark,Sullivan;F;F;B;F;B
Ronald,Chavez;A;C;A;A;F
Lauren,Gonzalez;C;A;F;A;B
Kathleen,Luna;C;A;A;C;B
Heather,Howard;A;C;B;F;F
Jared,Michael;C;D;A;D;F
David,Ramirez;B;B;F;A;B
Kathy,Walker;A;A;C;A;C
Kenneth,Banks;D;F;D;F;C
Jeffrey,Jenkins;F;D;F;A;B
Christine,Bowman;A;B;A;F;C
Albert,Perry;D;F;B;F;C
Joanna,Martin;B;D;D;F;C
Roberto,Mcgee;C;F;A;C;B
Steven,Patton;C;C;C;A;A
Justin,Guerrero;C;C;A;B;A
Daniel,Hubbard;A;F;C;B;D
Grace,Hartman;C;A;F;D;C
Jason,Phillips;C;F;A;F;F
Robin,Macias;A;B;B;C;A
Rebekah,Ortiz;A;D;F;A;D
Jonathan,Rhodes;B;B;A;F;F
Anthony,Meyer;C;D;D;F;F
Meagan,Fisher;F;A;C;D;C
Charles,Poole;B;C;C;A;F
Matthew,Cooper;B;F;A;F;D
Michelle,Robinson;C;F;B;D;C
Cynthia,Stewart;A;D;D;D;A
Lauren,Holmes;D;A;D;D;A
Phillip,Simpson;D;C;A;F;A
Karen,Moore;F;F;D;F;D
Cheryl,Williams;C;F;B;B;D
Eileen,Moore;F;D;D;C;C
Billy,Atkins;D;C;A;A;A
Adam,White;A;A;D;D;D
Donna,Lopez;D;B;C;B;D
Mr.,Cameron,Bradley;D;C;D;D;D
Tanya,Vincent;D;C;A;C;C
Barbara,Brady;A;C;F;A;A
Susan,Sharp;F;B;A;C;B
Eric,Russell;B;B;A;A;D
Joseph,Owens;A;A;A;A;B
Michael,Gilbert;A;B;B;A;C
Zachary,Mcgee;D;B;F;A;A
Kenneth,Robinson;D;B;D;F;D
Anthony,Lawrence;A;F;D;A;A
Daniel,Carson;F;F;D;D;C
Carolyn,Clark;F;F;F;C;D
Mark,Davis;A;B;F;A;F
Alicia,Hall;D;F;C;F;F
Matthew,Hobbs;B;C;F;A;F
Matthew,Alvarez;F;C;F;C;D
Kristin,Burns;C;A;F;F;B
Steven,Hill;F;D;F;A;A
David,Lane;A;C;A;D;C
Nancy,Lopez;B;F;D;B;B
Robert,Schwartz;B;B;F;D;A
Tonya,Haynes;A;C;F;F;F
Toni,Levy;F;D;B;D;F
Jacqueline,Whitaker;C;A;B;D;F
Ricardo,Jackson;A;A;F;B;F
Kristen,Rodriguez;F;A;F;F;A
Christopher,Spencer;D;D;A;B;D
Ariana,Bailey;C;B;B;C;B
Brett,Sims;A;D;C;A;D
Robert,Alvarez;C;B;C;B;D
Daniel,Farmer;A;B;C;D;F
Lisa,Patterson;A;C;D;D;A
Sonya,Mccormick;A;D;C;B;D
Calvin,Copeland;A;F;B;F;A
Erica,Bennett;F;B;D;B;C
Donna,Reeves;F;B;A;B;C
Lisa,Lewis;D;F;B;A;D
Erika,Boyd;D;F;F;C;A
Samantha,Coleman;D;D;D;F;A
Matthew,Kennedy;D;F;A;B;A
Stephen,Peters;D;F;B;D;F
Gregory,Manning;A;F;F;F;D
Joanna,Kelly;C;B;C;A;D
Leah,Holmes;F;B;F;D;C
Kyle,Payne,DDS;B;F;B;F;C
Morgan,Baker;A;D;C;A;B
Valerie,Mathis;D;D;F;D;F
Wesley,Valencia;F;B;C;C;A
Joshua,Rodriguez;A;F;A;F;F
Debbie,Weaver;F;B;D;A;B
Erica,Smith;D;B;D;D;C
Wanda,Garcia;F;B;B;A;B
Sharon,Ball;B;F;D;C;F
Russell,Robinson;A;D;C;D;C
Laura,Butler;C;D;F;C;C
John,Ross;C;F;F;A;B
Roy,Rowland;D;F;C;F;A
Ashley,Suarez;C;F;F;A;F
Savannah,Price;B;D;D;D;C
David,Guerrero;C;B;B;C;A
Linda,Rivas;C;F;C;C;A
Christina,Fisher;D;D;A;D;F
Nicole,Ruiz;F;A;F;A;D
William,Johnson;F;B;C;C;F
April,Martinez;B;C;B;D;B
Tamara,Lee;B;F;B;A;B
Patrick,Mosley;C;C;F;B;D
Susan,Levine;D;C;F;B;C
Jennifer,Jones;C;B;B;F;B
Joseph,Franklin;B;F;A;A;F
Travis,Smith;F;F;D;C;C
Hannah,Nichols;F;C;C;C;C
Jesse,Griffin;C;C;A;F;A
Timothy,Davis;F;A;A;D;F
Rhonda,Young;A;C;A;F;B
Jesse,King;F;C;D;C;C
Jeffrey,Lopez;C;C;C;D;F
Veronica,Elliott;C;A;C;B;D
Dustin,Johnson,DDS;B;F;D;F;F
Derek,Griffin;F;C;C;D;D
Jennifer,Freeman;F;B;C;D;A
Thomas,Berry;D;A;C;D;D
Kenneth,Williams;B;B;D;D;B
Margaret,Park;C;C;F;B;D
Heather,Hunt;B;F;C;A;A
Joe,Colon;A;A;B;F;B
Charles,Griffin;B;A;B;B;D
Johnny,Gentry;F;B;B;C;F
Ralph,Black;B;F;A;A;D
Timothy,Davis;C;A;D;A;D
Corey,Cook;D;F;F;D;D
Gary,Whitney;A;F;B;F;B
Bridget,Luna;A;B;B;A;C
Samantha,Martin,DVM;C;B;B;B;A
Lindsey,Moore;D;C;C;B;C
Samuel,Smith;F;D;C;C;B
James,Wagner;A;F;F;F;A
Chad,Robinson;F;D;F;B;A
Matthew,Jones;B;A;A;C;F
Kelli,Macdonald;B;C;D;A;A
Austin,Jenkins;C;A;B;C;C
David,Clark;F;F;B;B;C
Dwayne,Ward;A;F;C;D;F
Jack,Cervantes;C;D;D;D;F
Sophia,Rowe;C;C;D;C;A
Kim,Pham;D;A;A;C;D
Amanda,Hoffman;B;A;B;D;B
Jessica,Lane;C;C;F;A;D
Becky,Gross;C;F;B;C;C
Marissa,Martin;B;D;D;F;A
Jesus,Sanchez;D;A;A;C;D
Kayla,Kennedy;B;C;A;B;A
Robert,Thomas;B;F;D;A;A
Mr.,Bryan,Douglas;F;A;A;D;F
Crystal,Dixon;B;A;B;D;F
Daniel,Leach;B;D;D;C;C
Nancy,Hudson;B;D;D;C;A
Vincent,Krause;D;A;F;C;B
Jesse,Wallace;C;D;F;C;D
Michael,Mcgee,DDS;F;A;C;A;A
Kelly,Reyes;A;D;A;F;D
Rachel,Berry;C;F;C;F;D
Christopher,Kim;B;A;C;D;C
Christopher,Hughes;D;F;F;D;D
Joseph,Simon;F;F;B;D;B
Jamie,Boyd;C;B;B;F;D
Richard,Hunter;F;F;F;D;F
Sarah,Gilbert;B;D;F;C;C
Mr.,Troy,Clark;F;C;D;A;F
Paula,Marshall;C;F;F;F;D
Glenn,Bautista;D;B;A;F;C
Ashley,Leonard;C;D;D;A;A
Shelley,Cole;A;F;D;C;A
Kristen,Snyder;F;F;B;F;A
Eric,Jackson;D;C;B;B;F
Cheryl,Dunn;A;A;A;B;B
Anthony,Hughes;B;A;A;F;B
Tonya,Murphy;D;F;B;B;D
