name : KellyContreras, gpa : 3.90
name : MaryDeleon, gpa : 3.70
name : DaltonWilliams, gpa : 4.10
name : RyanPayne, gpa : 3.90
name : KathyWalker, gpa : 3.70
name : RobinMacias, gpa : 3.70
name : JosephOwens, gpa : 4.30
name : MichaelGilbert, gpa : 3.70
name : BridgetLuna, gpa : 3.70
name : KaylaKennedy, gpa : 3.70
name : CherylDunn, gpa : 4.10
name : RyanJohnson, gpa : 3.90
name : JoyBaker, gpa : 4.10
name : BrentRoss, gpa : 3.70
name : AlejandroSilva, gpa : 4.10
name : MelissaCollins, gpa : 3.70
name : JacquelineWalker, gpa : 3.70
name : MichaelJones, gpa : 3.70
name : BrianBallardPhD, gpa : 3.70
name : TaraRios, gpa : 4.10
name : AndrewBrooks, gpa : 3.90
name : ClaireNelson, gpa : 3.70
name : RyanGuzman, gpa : 3.70
name : JeremyStewart, gpa : 3.90
name : AnthonyVilla, gpa : 3.70
name : BenjaminAtkinson, gpa : 3.70
name : MarcusEsparza, gpa : 3.90
name : CrystalLopez, gpa : 3.70
name : MichelleJones, gpa : 3.70
name : NathanBerry, gpa : 4.30
name : DonnaBrown, gpa : 3.70
name : JeremyPotter, gpa : 3.70
name : TabithaRoberts, gpa : 3.70
name : SamanthaWilliams, gpa : 4.10
name : AndrewDiaz, gpa : 3.70
name : JoshuaHawkins, gpa : 3.70
name : AmyMurray, gpa : 3.70
name : AlexKennedy, gpa : 3.70
name : EricWarren, gpa : 3.90
name : JoshuaPorter, gpa : 3.90
name : RebeccaWilson, gpa : 3.70
name : RobertFrancis, gpa : 3.90
name : SharonPonce, gpa : 4.10
name : ThomasOliver, gpa : 3.70
name : JonWhite, gpa : 3.70
name : DavidEstrada, gpa : 3.90
name : DwayneMiles, gpa : 4.10
name : KristinKidd, gpa : 3.70
name : RyanRomero, gpa : 3.70
name : DennisBrown, gpa : 3.70
name : TeresaFrye, gpa : 3.90
name : JessicaWilliams, gpa : 4.10
name : PatrickKnox, gpa : 3.70
name : RichardBrennan, gpa : 3.90
name : ErinRodriguez, gpa : 3.90
name : JeffreyMayer, gpa : 3.70
name : ChristopherParrish, gpa : 3.70
name : JordanWerner, gpa : 3.70
name : ZacharyWright, gpa : 3.70
name : DavidRoberts, gpa : 3.70
name : KimberlyDean, gpa : 4.10
name : LisaEstrada, gpa : 3.70
name : KathrynDiaz, gpa : 3.90
name : LauraChase, gpa : 3.90
name : BryanOsborn, gpa : 3.70
name : AmberMason, gpa : 3.70
name : JosephSimpson, gpa : 3.70
name : SarahBrown, gpa : 4.10
name : JamieVance, gpa : 3.90
name : AlyssaKeith, gpa : 3.70
name : MichelleRodriguez, gpa : 3.70
name : ZacharyBryant, gpa : 4.30
name : LawrenceMoore, gpa : 3.70
name : ChristyMoody, gpa : 3.70
name : AshleyAlexander, gpa : 3.70
name : AdamRowe, gpa : 4.10
name : NancyBean, gpa : 3.70
name : SandraJohnson, gpa : 3.70
name : ElizabethAnderson, gpa : 3.70
name : ErinGreene, gpa : 4.30
name : DavidNoble, gpa : 3.70
name : VirginiaLopez, gpa : 3.90
name : StephenPage, gpa : 4.30
name : MichaelSavage, gpa : 3.70
name : DeborahJenkinsPhD, gpa : 4.30
name : Dr.LukeRose, gpa : 4.10
name : JohnRichards, gpa : 3.70
name : JoanneMorse, gpa : 3.70
name : TiffanyRoth, gpa : 4.10
name : ChristopherWatkins, gpa : 3.90
name : ChristopherFrederick, gpa : 3.70
name : RebeccaMorse, gpa : 4.30
name : DustinWallace, gpa : 3.70
name : KyleWeber, gpa : 3.70
name : AndrewGamble, gpa : 3.70
name : BrettGarcia, gpa : 3.70
name : DanielEllison, gpa : 4.10
name : AndrewCarney, gpa : 3.90
name : JordanJohnson, gpa : 4.30
name : JustinTorres, gpa : 3.90
name : KimberlyHolland, gpa : 3.70
name : JosephHarper, gpa : 3.70
name : RussellMunoz, gpa : 3.90
name : JenniferMartinez, gpa : 3.90
name : AlexanderGibson, gpa : 3.70
name : TonyLee, gpa : 3.70
name : GarrettWilliams, gpa : 4.10
name : ChelseaWilliams, gpa : 3.70
name : JonathonBell, gpa : 3.70
name : AnthonyPrice, gpa : 3.70
name : RobertRobinson, gpa : 3.70
name : MichaelMann, gpa : 4.10
name : KarenHodges, gpa : 3.70
name : JesseWatts, gpa : 3.90
name : JaySimon, gpa : 3.70
name : RobertFranco, gpa : 3.70
name : KristinaHamilton, gpa : 3.70
